State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate
Maine,Edinburg,0,0,0,0.000
Maine,Enfield,585,279,0,0.000
Maine,Etna,495,216,0,0.000
Maine,Exeter,366,190,0,0.000
Maine,Garland,409,177,0,0.000
Maine,Glenburn,1612,1108,0,0.000
Maine,Greenbush,499,193,0,0.000
Maine,Hampden,2265,2451,0,0.000
Maine,Hermon,2427,1447,0,0.000
Maine,Holden,1200,871,0,0.000
Maine,Howland,390,221,0,0.000
Maine,Hudson,484,120,0,0.000
Maine,Kenduskeag,514,242,0,0.000
Maine,LaGrange,0,0,0,0.000
Maine,Lakeville,0,0,0,0.000
Maine,Lee,350,140,0,0.000
Maine,Levant,1149,477,0,0.000
Maine,Lincoln,1723,813,1,0.036
Maine,Lowell,193,56,0,0.000
Maine,Mattawamkeag,257,120,0,0.000
Maine,Maxfield,0,0,0,0.000
Maine,Medway,0,0,0,0.000
Maine,Milford,922,861,0,0.000
Maine,Millinocket,1310,1049,0,0.000
Maine,Mount Chase,81,39,0,0.000
Maine,Newburgh,599,366,0,0.000
Maine,Newport,0,0,0,0.000
Maine,Old Town,1668,2365,0,0.000
Maine,Orono,1200,3728,0,0.000
Maine,Orrington,1405,1089,0,0.000
Maine,Passadumkeag,0,0,0,0.000
Maine,Patten,0,0,0,0.000
Maine,Plymouth,505,230,0,0.000
Maine,Seboeis Plt.,19,22,0,0.000
Maine,Springfield,0,0,0,0.000
Maine,Stacyville,0,0,0,0.000
Maine,Stetson,0,0,0,0.000
Maine,Veazie,522,645,0,0.000
Maine,Webster Plt.,0,0,0,0.000
Maine,Winn,0,0,0,0.000
Maine,Woodville,0,0,0,0.000
Maine,Abbot,288,121,0,0.000
Maine,Atkinson,122,49,0,0.000
Maine,Beaver Cove,0,0,0,0.000
Maine,Bowerbank,0,0,0,0.000
Maine,Brownville,467,280,0,0.000
Maine,Dover-Foxcroft,1356,914,0,0.000
Maine,Greenville,644,486,0,0.000
Maine,Guilford,466,248,0,0.000
Maine,Kingsbury Plt.,0,0,0,0.000
Maine,Lake View Plt.,0,0,0,0.000
Maine,Medford,112,46,0,0.000
Maine,Milo,781,410,0,0.000
Maine,Monson,289,173,0,0.000
Maine,Parkman,333,148,0,0.000
Maine,Sangerville,479,255,0,0.000
Maine,Sebec,305,117,0,0.000
Maine,Shirley,0,0,0,0.000
Maine,Wellington,0,0,0,0.000
Maine,Willimantic,0,0,0,0.000
Maine,Arrowsic,104,260,0,0.000
Maine,Bath,1540,3421,0,0.000
Maine,Bowdoin,1079,755,0,0.000
Maine,Bowdoinham,856,1123,0,0.000
Maine,Georgetown,294,525,0,0.000
Maine,Phippsburg,745,794,0,0.000
Maine,Richmond,1056,934,0,0.000
Maine,Topsham,2390,3944,0,0.000
Maine,West Bath,629,737,0,0.000
Maine,Woolwich,1062,1038,0,0.000
Maine,Anson,796,398,0,0.000
Maine,Athens,332,167,0,0.000
Maine,Bingham,349,215,0,0.000
Maine,Brighton Plt.,0,0,0,0.000
Maine,Cambridge,0,0,0,0.000
Maine,Canaan,749,384,0,0.000
Maine,Caratunk,0,0,0,0.000
Maine,Cornville,471,283,0,0.000
Maine,Dennistown Plt.,0,0,0,0.000
Maine,Detroit,276,151,0,0.000
Maine,Embden,375,181,0,0.000
Maine,Fairfield,1843,1428,0,0.000
Maine,Harmony,0,0,0,0.000
Maine,Hartland,610,266,0,0.000
Maine,Highland Plt.,71,42,0,0.000
Maine,Jackman,0,0,0,0.000
Maine,Madison,1411,928,0,0.000
Maine,Mercer,0,0,0,0.000
Maine,Moose River,0,0,0,0.000
Maine,Moscow,194,74,0,0.000
Maine,New Portland,0,0,0,0.000
Maine,Norridgewock,1128,687,0,0.000
Maine,Palmyra,800,325,0,0.000
Maine,Pittsfield,1156,817,0,0.000
Maine,Pleasant Ridge Plt.,0,0,0,0.000
Maine,Ripley,195,100,0,0.000
Maine,St. Albans,0,0,0,0.000
Maine,Skowhegan,2215,1876,0,0.000
Maine,Smithfield,342,269,0,0.000
Maine,Solon,365,243,0,0.000
Maine,Starks,237,137,0,0.000
Maine,The Forks Plt.,0,0,0,0.000
Maine,West Forks Plt.,0,0,0,0.000
Maine,Belfast,1259,2847,0,0.000
Maine,Belmont,319,259,0,0.000
Maine,Brooks,317,246,0,0.000
Maine,Burnham,389,234,0,0.000
Maine,Frankfort,441,220,0,0.000
Maine,Freedom,236,201,0,0.000
Maine,Islesboro,120,309,0,0.000
Maine,Jackson,191,134,0,0.000
Maine,Knox,540,415,0,0.000
Maine,Liberty,308,265,0,0.000
Maine,Lincolnville,548,1059,0,0.000
Maine,Monroe,266,308,0,0.000
Maine,Montville,266,346,0,0.000
Maine,Morrill,355,242,0,0.000
Maine,Northport,408,670,0,0.000
Maine,Palermo,537,381,0,0.000
Maine,Prospect,242,170,0,0.000
Maine,Searsmont,481,430,0,0.000
Maine,Searsport,721,843,0,0.000
Maine,Stockton Springs,508,529,0,0.000
Maine,Swanville,454,339,0,0.000
Maine,Thorndike,0,0,0,0.000
Maine,Troy,0,0,0,0.000
Maine,Waldo,340,233,1,0.159
Maine,Winterport,1238,1032,0,0.000
Maine,Addison,451,235,0,0.000
Maine,Alexander,224,73,0,0.000
Maine,Baileyville,421,239,0,0.000
Maine,Baring Plt.,0,0,0,0.000
Maine,Beals,0,0,0,0.000
Maine,Beddington,0,0,0,0.000
Maine,Calais,856,626,0,0.000
Maine,Charlotte,0,0,0,0.000
Maine,Cherryfield,417,212,0,0.000
Maine,Columbia,0,0,0,0.000
Maine,Columbia Falls,204,119,0,0.000
Maine,Cooper,62,35,0,0.000
Maine,Crawford,0,0,0,0.000
Maine,Cutler,0,0,0,0.000
Maine,Danforth,0,0,0,0.000
Maine,Deblois,0,0,0,0.000
Maine,Dennysville,0,0,0,0.000
Maine,East Machias,528,270,0,0.000
Maine,Eastport,339,474,0,0.000
Maine,Grand Lake Stream Plt,60,37,0,0.000
Maine,Harrington,0,0,0,0.000
Maine,Jonesboro,0,0,0,0.000
Maine,Jonesport,0,0,0,0.000
Maine,Lubec,406,457,0,0.000
Maine,Machias,461,395,0,0.000
Maine,Machiasport,336,216,0,0.000
Maine,Marshfield,208,102,0,0.000
Maine,Meddybemps,0,0,0,0.000
Maine,Milbridge,391,326,0,0.000
Maine,Northfield,81,38,0,0.000
Maine,Pembroke,0,0,0,0.000
Maine,Perry,0,0,0,0.000
Maine,Princeton,340,118,0,0.000
Maine,Robbinston,0,0,0,0.000
Maine,Roque Bluffs,0,0,0,0.000
Maine,Steuben,409,245,0,0.000
Maine,Talmadge,0,0,0,0.000
Maine,Topsfield,100,24,0,0.000
Maine,Vanceboro,0,0,0,0.000
Maine,Waite,0,0,0,0.000
Maine,Wesley,0,0,0,0.000
Maine,Whiting,0,0,0,0.000
Maine,Whitneyville,0,0,0,0.000
Maine,Acton,930,651,0,0.000
Maine,Alfred,948,983,0,0.000
Maine,Arundel,1347,1405,0,0.000
Maine,Berwick,1519,3186,0,0.000
Maine,Biddeford,3703,7019,0,0.000
Maine,Buxton,2686,2416,0,0.000
Maine,Cornish,478,429,0,0.000
Maine,Dayton,756,582,0,0.000
Maine,Eliot,1788,2839,0,0.000
Maine,Hollis,1535,1268,0,0.000
Maine,Kennebunk,2682,5368,0,0.000
Maine,Kennebunkport,926,1777,0,0.000
Maine,Kittery,1809,4418,0,0.000
Maine,Lebanon,2178,1232,0,0.000
Maine,Limerick,948,813,0,0.000
Maine,Limington,1357,856,0,0.000
Maine,Lyman,1537,1315,0,0.000
Maine,Newfield,575,362,0,0.000
Maine,North Berwick,1557,1465,0,0.000
Maine,Ogunquit,311,731,0,0.000
Maine,Old Orchrd Bch,2368,3708,0,0.000
Maine,Parsonsfield,564,469,0,0.000
Maine,Saco,4497,7794,0,0.000
Maine,Sanford,5176,5382,0,0.000
Maine,Shapleigh,1034,704,0,0.000
Maine,South Berwick,1734,2748,0,0.000
Maine,Waterboro,2471,1861,0,0.000
Maine,Wells,3333,4465,0,0.000
Maine,York,3352,6117,4,0.038
Maryland,Allegany County,19939,8050,2,0.006
Maryland,Anne Arundel County,110684,133998,9,0.003
Maryland,Baltimore County,119305,177865,29,0.009
Maryland,Calvert County,24786,21814,0,0.000
Maryland,Caroline County,9237,3572,1,0.007
Maryland,Carroll County,54176,29135,1,0.001
Maryland,Cecil County,26880,13567,6,0.013
Maryland,Charles County,20289,35937,3,0.005
Maryland,Dorchester County,7804,5295,0,0.000
Maryland,Frederick County,57314,64016,6,0.004
Maryland,Garrett County,11654,3098,0,0.000
Maryland,Harford County,69468,43381,7,0.006
Maryland,Howard County,46442,122060,5,0.003
Maryland,Kent County,4707,4830,0,0.000
Maryland,Montgomery County,72888,265188,12,0.003
Maryland,Prince George's County,31904,317102,1,0.000
Maryland,Queen Anne's County,18179,10209,0,0.000
Maryland,St. Mary's County,30245,22511,1,0.002
Maryland,Somerset County,5405,3542,0,0.000
Maryland,Talbot County,10524,10408,0,0.000
Maryland,Washington County,38232,23448,1,0.001
Maryland,Wicomico County,21878,20150,5,0.011
Maryland,Worcester County,15386,7898,0,0.000
Maryland,Baltimore city,20677,165350,33,0.016
Massachusetts,Barnstable,10824,15685,1,0.003
Massachusetts,Bourne,5026,5988,0,0.000
Massachusetts,Brewster,2334,4905,0,0.000
Massachusetts,Chatham,1827,3043,0,0.000
Massachusetts,Dennis,3934,6179,0,0.000
Massachusetts,Eastham,1146,2840,0,0.000
Massachusetts,Falmouth,7282,13911,0,0.000
Massachusetts,Harwich,3363,5761,0,0.000
Massachusetts,Mashpee,4078,5977,0,0.000
Massachusetts,Orleans,1444,3227,0,0.000
Massachusetts,Provincetown,181,2399,0,0.000
Massachusetts,Sandwich,5922,7519,0,0.000
Massachusetts,Truro,339,1386,0,0.000
Massachusetts,Wellfleet,478,1887,0,0.000
Massachusetts,Yarmouth,5954,9025,0,0.000
Massachusetts,Adams,0,0,0,0.000
Massachusetts,Alford,50,271,0,0.000
Massachusetts,Becket,0,0,0,0.000
Massachusetts,Cheshire,775,1121,0,0.000
Massachusetts,Clarksburg,0,0,0,0.000
Massachusetts,Dalton,0,0,0,0.000
Massachusetts,Egremont,0,0,0,0.000
Massachusetts,Florida,0,0,0,0.000
Massachusetts,Great Barrington,654,3364,0,0.000
Massachusetts,Hancock,207,257,0,0.000
Massachusetts,Hinsdale,402,771,0,0.000
Massachusetts,Lanesborough,602,1230,0,0.000
Massachusetts,Lee,977,2404,0,0.000
Massachusetts,Lenox,0,0,0,0.000
Massachusetts,Monterey,102,481,0,0.000
Massachusetts,Mount Washington,16,101,0,0.000
Massachusetts,New Ashford,0,0,0,0.000
Massachusetts,New Marlborough,264,677,0,0.000
Massachusetts,North Adams,1571,4174,0,0.000
Massachusetts,Otis,438,550,0,0.000
Massachusetts,Peru,216,299,0,0.000
Massachusetts,Pittsfield,4966,16158,0,0.000
Massachusetts,Richmond,215,827,0,0.000
Massachusetts,Sandisfield,200,305,0,0.000
Massachusetts,Savoy,161,226,0,0.000
Massachusetts,Sheffield,578,1541,0,0.000
Massachusetts,Stockbridge,237,1098,0,0.000
Massachusetts,Tyringham,72,233,0,0.000
Massachusetts,Washington,287,510,0,0.000
Massachusetts,West Stockbridge,164,784,0,0.000
Massachusetts,Williamstown,487,3088,0,0.000
Massachusetts,Windsor,200,269,0,0.000
Massachusetts,Acushnet,3193,2550,0,0.000
Massachusetts,Attleboro,9127,13408,0,0.000
Massachusetts,Berkley,2244,1744,0,0.000
Massachusetts,Dartmouth,7567,9456,0,0.000
Massachusetts,Dighton,2473,2139,0,0.000
Massachusetts,Easton,5337,8440,0,0.000
Massachusetts,Fairhaven,4229,5028,0,0.000
Massachusetts,Fall River,13409,17379,0,0.000
Massachusetts,Freetown,2862,2446,0,0.000
Massachusetts,Mansfield,5145,9012,0,0.000
Massachusetts,New Bedford,12781,20805,0,0.000
Massachusetts,North Attleborough,6764,8943,0,0.000
Massachusetts,Norton,4551,5602,0,0.000
Massachusetts,Raynham,4233,4348,0,0.000
Massachusetts,Rehoboth,4026,3590,0,0.000
Massachusetts,Seekonk,3957,4769,0,0.000
Massachusetts,Somerset,5108,5811,0,0.000
Massachusetts,Swansea,5116,4734,0,0.000
Massachusetts,Taunton,11016,14704,0,0.000
Massachusetts,Westport,4947,5155,0,0.000
Massachusetts,Aquinnah,34,311,0,0.000
Massachusetts,Chilmark,110,795,0,0.000
Massachusetts,Edgartown,850,2181,0,0.000
Massachusetts,Gosnold,0,0,0,0.000
Massachusetts,Oak Bluffs,728,2401,0,0.000
Massachusetts,Tisbury,527,2156,0,0.000
Massachusetts,West Tisbury,338,1918,0,0.000
Massachusetts,Amesbury,3284,6692,0,0.000
Massachusetts,Andover,6395,13430,0,0.000
Massachusetts,Beverly,7057,16380,0,0.000
Massachusetts,Boxford,2235,3056,0,0.000
Massachusetts,Danvers,6662,9698,0,0.000
Massachusetts,Essex,790,1629,9,0.338
Massachusetts,Georgetown,2357,3002,0,0.000
Massachusetts,Gloucester,5308,11572,0,0.000
Massachusetts,Groveland,1961,2391,0,0.000
Massachusetts,Hamilton,1432,3289,0,0.000
Massachusetts,Haverhill,12410,18658,0,0.000
Massachusetts,Ipswich,3101,6189,0,0.000
Massachusetts,Lawrence,5776,16854,0,0.000
Massachusetts,Lynn,10191,24123,0,0.000
Massachusetts,Lynnfield,3949,4162,0,0.000
Massachusetts,Manchester,1007,2645,0,0.000
Massachusetts,Marblehead,3777,10089,0,0.000
Massachusetts,Merrimac,0,0,0,0.000
Massachusetts,Methuen,10945,14103,0,0.000
Massachusetts,Middleton,2936,2717,0,0.000
Massachusetts,Nahant,838,1599,0,0.000
Massachusetts,Newbury,1749,3112,0,0.000
Massachusetts,Newburyport,3241,9097,0,0.000
Massachusetts,North Andover,6531,11004,0,0.000
Massachusetts,Peabody,12688,16826,0,0.000
Massachusetts,Rockport,1307,3859,0,0.000
Massachusetts,Rowley,1936,2176,0,0.000
Massachusetts,Salem,5382,17786,0,0.000
Massachusetts,Salisbury,2587,2830,0,0.000
Massachusetts,Saugus,7349,7722,0,0.000
Massachusetts,Swampscott,2540,6816,0,0.000
Massachusetts,Topsfield,1600,2457,0,0.000
Massachusetts,Wenham,763,1757,0,0.000
Massachusetts,West Newbury,1051,2072,0,0.000
Massachusetts,Ashfield,180,993,0,0.000
Massachusetts,Bernardston,422,915,0,0.000
Massachusetts,Buckland,268,887,0,0.000
Massachusetts,Charlemont,235,492,0,0.000
Massachusetts,Colrain,306,667,0,0.000
Massachusetts,Conway,278,989,0,0.000
Massachusetts,Deerfield,834,2421,0,0.000
Massachusetts,Erving,0,0,0,0.000
Massachusetts,Gill,278,670,0,0.000
Massachusetts,Greenfield,0,0,0,0.000
Massachusetts,Hawley,70,155,0,0.000
Massachusetts,Heath,0,0,0,0.000
Massachusetts,Leverett,155,1140,0,0.000
Massachusetts,Leyden,155,330,0,0.000
Massachusetts,Monroe,0,0,0,0.000
Massachusetts,Montague,1200,3468,0,0.000
Massachusetts,New Salem,237,418,0,0.000
Massachusetts,Northfield,592,1211,0,0.000
Massachusetts,Orange,0,0,0,0.000
Massachusetts,Rowe,113,152,0,0.000
Massachusetts,Shelburne,0,0,0,0.000
Massachusetts,Shutesbury,144,1153,0,0.000
Massachusetts,Sunderland,0,0,0,0.000
Massachusetts,Warwick,0,0,0,0.000
Massachusetts,Wendell,0,0,0,0.000
Massachusetts,Whately,331,744,0,0.000
Massachusetts,Agawam,8021,7725,0,0.000
Massachusetts,Blandford,0,0,0,0.000
Massachusetts,Brimfield,0,0,0,0.000
Massachusetts,Chester,0,0,0,0.000
Massachusetts,Chicopee,10622,14452,0,0.000
Massachusetts,East Longmeadow,4612,5260,0,0.000
Massachusetts,Granville,565,402,0,0.000
Massachusetts,Hampden,1709,1532,5,0.140
Massachusetts,Holland,783,690,0,0.000
Massachusetts,Holyoke,4804,11013,0,0.000
Massachusetts,Longmeadow,3438,6599,0,0.000
Massachusetts,Ludlow,5660,5419,0,0.000
Massachusetts,Monson,2584,2440,0,0.000
Massachusetts,Montgomery,0,0,0,0.000
Massachusetts,Palmer,3240,3105,0,0.000
Massachusetts,Russell,0,0,0,0.000
Massachusetts,Southwick,3221,2359,0,0.000
Massachusetts,Springfield,13896,38849,0,0.000
Massachusetts,Tolland,186,136,0,0.000
Massachusetts,Wales,617,430,0,0.000
Massachusetts,Westfield,9695,9986,0,0.000
Massachusetts,West Springfield,5916,6985,0,0.000
Massachusetts,Wilbraham,4247,4920,0,0.000
Massachusetts,Amherst,849,10234,0,0.000
Massachusetts,Belchertown,3379,5728,0,0.000
Massachusetts,Chesterfield,287,510,0,0.000
Massachusetts,Cummington,159,412,0,0.000
Massachusetts,Easthampton,2504,7733,0,0.000
Massachusetts,Goshen,231,418,0,0.000
Massachusetts,Granby,1802,2039,0,0.000
Massachusetts,Hadley,918,2445,0,0.000
Massachusetts,Hatfield,683,1552,0,0.000
Massachusetts,Huntington,0,0,0,0.000
Massachusetts,Middlefield,0,0,0,0.000
Massachusetts,Northampton,1837,15219,0,0.000
Massachusetts,Pelham,88,818,0,0.000
Massachusetts,Plainfield,116,316,0,0.000
Massachusetts,Southampton,1811,2231,0,0.000
Massachusetts,South Hadley,3223,6587,0,0.000
Massachusetts,Ware,2440,2340,0,0.000
Massachusetts,Westhampton,272,678,0,0.000
Massachusetts,Williamsburg,337,1445,0,0.000
Massachusetts,Worthington,0,0,0,0.000
Massachusetts,Acton,2399,10793,0,0.000
Massachusetts,Arlington,4313,23024,0,0.000
Massachusetts,Ashby,1009,956,0,0.000
Massachusetts,Ashland,2926,7254,0,0.000
Massachusetts,Ayer,1534,2924,0,0.000
Massachusetts,Bedford,2183,6065,0,0.000
Massachusetts,Belmont,2920,11605,0,0.000
Massachusetts,Billerica,10532,12917,0,0.000
Massachusetts,Boxborough,784,2516,0,0.000
Massachusetts,Burlington,5510,9314,0,0.000
Massachusetts,Cambridge,3248,45426,0,0.000
Massachusetts,Carlisle,759,2746,0,0.000
Massachusetts,Chelmsford,7680,13635,0,0.000
Massachusetts,Concord,1972,10002,0,0.000
Massachusetts,Dracut,8692,8582,0,0.000
Massachusetts,Dunstable,868,1224,0,0.000
Massachusetts,Everett,4022,10343,0,0.000
Massachusetts,Framingham,7705,23613,0,0.000
Massachusetts,Groton,2108,4819,0,0.000
Massachusetts,Holliston,2543,6672,0,0.000
Massachusetts,Hopkinton,2936,6976,0,0.000
Massachusetts,Hudson,3850,7409,0,0.000
Massachusetts,Lexington,3298,16138,0,0.000
Massachusetts,Lincoln,661,3374,0,0.000
Massachusetts,Littleton,1977,4474,0,0.000
Massachusetts,Lowell,12054,24492,0,0.000
Massachusetts,Malden,5904,18417,0,0.000
Massachusetts,Marlborough,5827,12332,0,0.000
Massachusetts,Maynard,1651,4851,0,0.000
Massachusetts,Medford,7412,22717,0,0.000
Massachusetts,Melrose,4508,12847,0,0.000
Massachusetts,Natick,4890,15972,0,0.000
Massachusetts,Newton,8165,39428,0,0.000
Massachusetts,North Reading,4073,5501,0,0.000
Massachusetts,Pepperell,3170,3809,0,0.000
Massachusetts,Reading,5301,10791,0,0.000
Massachusetts,Sherborn,557,2206,0,0.000
Massachusetts,Shirley,1493,2099,0,0.000
Massachusetts,Somerville,4150,35392,0,0.000
Massachusetts,Stoneham,5348,8607,0,0.000
Massachusetts,Stow,1258,3544,0,0.000
Massachusetts,Sudbury,2611,9075,0,0.000
Massachusetts,Tewksbury,8631,9709,0,0.000
Massachusetts,Townsend,2601,2663,0,0.000
Massachusetts,Tyngsborough,3364,4028,0,0.000
Massachusetts,Wakefield,6019,10170,0,0.000
Massachusetts,Waltham,7624,19847,0,0.000
Massachusetts,Watertown,3795,14855,0,0.000
Massachusetts,Wayland,1681,7191,0,0.000
Massachusetts,Westford,4618,10078,0,0.000
Massachusetts,Weston,1703,5049,0,0.000
Massachusetts,Wilmington,6394,7950,0,0.000
Massachusetts,Winchester,3679,9445,0,0.000
Massachusetts,Woburn,8464,13504,0,0.000
Massachusetts,Nantucket,1912,5234,0,0.000
Massachusetts,Avon,1030,1599,0,0.000
Massachusetts,Bellingham,4383,5165,0,0.000
Massachusetts,Braintree,8680,12464,0,0.000
Massachusetts,Brookline,3322,26046,0,0.000
Massachusetts,Canton,4953,9147,0,0.000
Massachusetts,Cohasset,1662,3835,0,0.000
Massachusetts,Dedham,4743,10658,0,0.000
Massachusetts,Dover,1140,2759,0,0.000
Massachusetts,Foxborough,4287,6583,0,0.000
Massachusetts,Franklin,7073,12053,1,0.005
Massachusetts,Holbrook,0,0,0,0.000
Massachusetts,Medfield,2374,5668,0,0.000
Massachusetts,Medway,3000,5149,0,0.000
Massachusetts,Millis,1985,3464,0,0.000
Massachusetts,Milton,4348,12497,0,0.000
Massachusetts,Needham,4071,15538,0,0.000
Massachusetts,Norfolk,2548,4037,6,0.083
Massachusetts,Norwood,5721,10941,0,0.000
Massachusetts,Plainville,2445,3154,0,0.000
Massachusetts,Quincy,14224,29956,0,0.000
Massachusetts,Randolph,3513,13586,0,0.000
Massachusetts,Sharon,2530,8530,0,0.000
Massachusetts,Stoughton,0,0,0,0.000
Massachusetts,Walpole,6125,9237,0,0.000
Massachusetts,Wellesley,3264,12295,0,0.000
Massachusetts,Westwood,3430,6812,0,0.000
Massachusetts,Weymouth,12293,19254,0,0.000
Massachusetts,Wrentham,3313,4220,0,0.000
Massachusetts,Abington,4188,5127,0,0.000
Massachusetts,Bridgewater,6467,7507,0,0.000
Massachusetts,Brockton,0,0,0,0.000
Massachusetts,Carver,3503,3265,0,0.000
Massachusetts,Duxbury,3986,6758,0,0.000
Massachusetts,East Bridgewater,4311,4096,0,0.000
Massachusetts,Halifax,2385,2329,0,0.000
Massachusetts,Hanover,4479,4859,0,0.000
Massachusetts,Hanson,3312,3240,0,0.000
Massachusetts,Hingham,4848,10403,0,0.000
Massachusetts,Hull,2405,4446,0,0.000
Massachusetts,Kingston,3690,4412,0,0.000
Massachusetts,Lakeville,3778,3326,0,0.000
Massachusetts,Marion,1244,2367,0,0.000
Massachusetts,Marshfield,7377,9473,0,0.000
Massachusetts,Mattapoisett,1884,2712,0,0.000
Massachusetts,Middleborough,7022,6155,0,0.000
Massachusetts,Norwell,2910,4262,0,0.000
Massachusetts,Pembroke,5304,6118,0,0.000
Massachusetts,Plymouth,14936,20780,2,0.005
Massachusetts,Plympton,912,962,0,0.000
Massachusetts,Rochester,1987,1757,0,0.000
Massachusetts,Rockland,4237,5279,0,0.000
Massachusetts,Scituate,4611,8595,0,0.000
Massachusetts,Wareham,5427,6733,0,0.000
Massachusetts,West Bridgewater,2270,2217,0,0.000
Massachusetts,Whitman,3875,4487,0,0.000
Massachusetts,Boston,42707,225368,0,0.000
Massachusetts,Chelsea,2146,7953,0,0.000
Massachusetts,Revere,7181,13283,0,0.000
Massachusetts,Winthrop,3665,6057,0,0.000
Massachusetts,Ashburnham,1643,1982,0,0.000
Massachusetts,Athol,2552,2653,0,0.000
Massachusetts,Auburn,4260,5547,0,0.000
Massachusetts,Barre,1524,1528,0,0.000
Massachusetts,Berlin,815,1366,0,0.000
Massachusetts,Blackstone,2485,2381,0,0.000
Massachusetts,Bolton,1124,2484,0,0.000
Massachusetts,Boylston,1314,1876,0,0.000
Massachusetts,Brookfield,1054,944,0,0.000
Massachusetts,Charlton,4339,3749,0,0.000
Massachusetts,Clinton,2876,4661,0,0.000
Massachusetts,Douglas,2918,2412,0,0.000
Massachusetts,Dudley,3155,2716,0,0.000
Massachusetts,East Brookfield,740,592,0,0.000
Massachusetts,Fitchburg,5820,8837,0,0.000
Massachusetts,Gardner,3881,5075,0,0.000
Massachusetts,Grafton,3958,6977,0,0.000
Massachusetts,Hardwick,732,746,0,0.000
Massachusetts,Harvard,945,3005,0,0.000
Massachusetts,Holden,4895,7133,0,0.000
Massachusetts,Hopedale,1364,2235,0,0.000
Massachusetts,Hubbardston,1441,1387,0,0.000
Massachusetts,Lancaster,1737,2381,0,0.000
Massachusetts,Leicester,3145,3099,0,0.000
Massachusetts,Leominster,8447,12084,0,0.000
Massachusetts,Lunenburg,2878,3911,0,0.000
Massachusetts,Mendon,1767,2041,0,0.000
Massachusetts,Milford,5535,8691,0,0.000
Massachusetts,Millbury,3685,4117,0,0.000
Massachusetts,Millville,975,820,0,0.000
Massachusetts,New Braintree,336,319,0,0.000
Massachusetts,Northborough,2835,6273,0,0.000
Massachusetts,Northbridge,4195,4655,0,0.000
Massachusetts,North Brookfield,1459,1176,0,0.000
Massachusetts,Oakham,663,553,0,0.000
Massachusetts,Oxford,3761,3573,0,0.000
Massachusetts,Paxton,1259,1612,0,0.000
Massachusetts,Petersham,0,0,0,0.000
Massachusetts,Phillipston,607,484,0,0.000
Massachusetts,Princeton,969,1514,0,0.000
Massachusetts,Royalston,357,404,0,0.000
Massachusetts,Rutland,2661,2800,0,0.000
Massachusetts,Shrewsbury,7004,13325,0,0.000
Massachusetts,Southborough,1779,4477,0,0.000
Massachusetts,Southbridge,3022,4074,0,0.000
Massachusetts,Spencer,3290,3005,0,0.000
Massachusetts,Sterling,0,0,0,0.000
Massachusetts,Sturbridge,2474,3387,0,0.000
Massachusetts,Sutton,3041,3042,0,0.000
Massachusetts,Templeton,2287,2060,0,0.000
Massachusetts,Upton,1956,3099,0,0.000
Massachusetts,Uxbridge,4090,4347,0,0.000
Massachusetts,Warren,1374,1146,0,0.000
Massachusetts,Webster,4002,4003,0,0.000
Massachusetts,Westborough,2756,7490,0,0.000
Massachusetts,West Boylston,1842,2742,0,0.000
Massachusetts,West Brookfield,1127,1137,0,0.000
Massachusetts,Westminster,2388,2556,0,0.000
Massachusetts,Winchendon,2657,2310,0,0.000
Massachusetts,Worcester,21018,48030,7,0.009
Michigan,Alcona County,4848,2142,0,0.000
Michigan,Alger County,3014,2053,1,0.018
Michigan,Allegan County,41381,24447,0,0.000
Michigan,Alpena County,10686,6000,0,0.000
Michigan,Antrim County,9783,7289,0,0.000
Michigan,Arenac County,5928,2773,0,0.000
Michigan,Baraga County,2512,1475,0,0.000
Michigan,Barry County,23473,11804,1,0.003
Michigan,Bay County,30919,21718,1,0.002
Michigan,Benzie County,6600,5480,0,0.000
Michigan,Berrien County,43518,37438,4,0.004
Michigan,Branch County,14066,6161,1,0.004
Michigan,Calhoun County,35900,28417,5,0.007
Michigan,Cass County,16686,9122,0,0.000
Michigan,Charlevoix County,9841,6939,1,0.005
Michigan,Cheboygan County,10171,5435,0,0.000
Michigan,Chippewa County,10682,6651,0,0.000
Michigan,Clare County,10860,5200,1,0.006
Michigan,Clinton County,25095,21963,0,0.000
Michigan,Crawford County,4955,2612,1,0.012
Michigan,Delta County,13206,7605,0,0.000
Michigan,Dickinson County,8469,4569,0,0.000
Michigan,Eaton County,31797,31297,4,0.006
Michigan,Emmet County,12135,9662,0,0.000
Michigan,Genesee County,99199,120082,7,0.003
Michigan,Gladwin County,9893,4524,1,0.006
Michigan,Gogebic County,4600,3573,0,0.000
Michigan,Grand Traverse County,30502,28682,0,0.000
Michigan,Gratiot County,12102,6693,0,0.000
Michigan,Hillsdale County,17037,5883,0,0.000
Michigan,Houghton County,10380,7755,0,0.000
Michigan,Huron County,11949,5349,1,0.005
Michigan,Ingham County,47640,94221,3,0.002
Michigan,Ionia County,20655,10899,3,0.009
Michigan,Iosco County,9760,5371,0,0.000
Michigan,Iron County,4216,2493,0,0.000
Michigan,Isabella County,14815,14072,0,0.000
Michigan,Jackson County,47381,32004,3,0.003
Michigan,Kalamazoo County,56823,83674,6,0.004
Michigan,Kalkaska County,7436,3003,0,0.000
Michigan,Kent County,165318,186753,9,0.002
Michigan,Keweenaw County,862,672,0,0.000
Michigan,Lake County,3946,2288,0,0.000
Michigan,Lapeer County,35480,16368,0,0.000
