State,County,Votes_Left,Votes_Right
Louisiana,East Carroll Parish,1080,1900
Louisiana,East Feliciana Parish,6064,4280
Louisiana,Evangeline Parish,11053,4158
Louisiana,Franklin Parish,6970,2658
Louisiana,Grant Parish,8117,1157
Louisiana,Iberia Parish,21250,11027
Louisiana,Iberville Parish,7893,8514
Louisiana,Jackson Parish,5394,2143
Louisiana,Jefferson Parish,105890,84438
Louisiana,Jefferson Davis Parish,11423,3208
Louisiana,Lafayette Parish,72518,39685
Louisiana,Lafourche Parish,36020,8668
Louisiana,LaSalle Parish,6348,574
Louisiana,Lincoln Parish,11311,7559
Louisiana,Livingston Parish,54870,9249
Louisiana,Madison Parish,1930,2654
Louisiana,Morehouse Parish,6510,4946
Louisiana,Natchitoches Parish,9358,6896
Louisiana,Orleans Parish,26645,147729
Louisiana,Ouachita Parish,42245,25905
Louisiana,Plaquemines Parish,7411,3413
Louisiana,Pointe Coupee Parish,7503,4683
Louisiana,Rapides Parish,38346,19472
Louisiana,Red River Parish,2413,1644
Louisiana,Richland Parish,6607,3225
Louisiana,Sabine Parish,8776,1731
Louisiana,St. Bernard Parish,11178,6151
Louisiana,St. Charles Parish,18233,9800
Louisiana,St. Helena Parish,2714,3346
Louisiana,St. James Parish,5954,6509
Louisiana,St. John the Baptist Parish,7538,13581
Louisiana,St. Landry Parish,23167,17371
Louisiana,St. Martin Parish,18203,8439
Louisiana,St. Mary Parish,14810,8054
Louisiana,St. Tammany Parish,99665,37744
Louisiana,Tangipahoa Parish,37799,18883
Louisiana,Tensas Parish,1195,1326
Louisiana,Terrebonne Parish,34339,11198
Louisiana,Union Parish,8406,2654
Louisiana,Vermilion Parish,21930,5009
Louisiana,Vernon Parish,14104,2897
Louisiana,Washington Parish,13307,5970
Louisiana,Webster Parish,11829,6172
Louisiana,West Baton Rouge Parish,7684,6200
Louisiana,West Carroll Parish,4317,710
Louisiana,West Feliciana Parish,3863,2298
Louisiana,Winn Parish,4617,1543
Maine,Aroostook Cty Townships,1141,1069
Maine,Franklin Cty Townships,0,0
Maine,Hancock Cty Townships,0,0
Maine,Oxford Cty Townships,0,0
Maine,Penobscot Cty Townships,0,0
Maine,Piscataquis Cty Townshps,61,26
Maine,Somerset Cty Townships,0,0
Maine,Washington Cty Townships,0,0
Maine,Indian Township Vtng Dst,0,0
Maine,Oxbow Plt.,0,0
Maine,Pleasant Point Votng Dst,0,0
Maine,Auburn,5426,6471
Maine,Durham,1333,1361
Maine,Greene,1663,914
Maine,Leeds,818,505
Maine,Lewiston,7206,9578
Maine,Lisbon,2853,2190
Maine,Livermore,783,573
Maine,Livermore Falls,809,540
Maine,Mechanic Falls,989,650
Maine,Minot,1040,676
Maine,Poland,1906,1513
Maine,Sabattus,1765,1034
Maine,Turner,2052,1288
Maine,Wales,616,275
Maine,Allagash,95,74
Maine,Amity,0,0
Maine,Ashland,0,0
Maine,Blaine,0,0
Maine,Bridgewater,214,82
Maine,Caribou,2262,1702
Maine,Cary Plt.,0,0
Maine,Castle Hill,130,97
Maine,Caswell,0,0
Maine,Chapman,177,97
Maine,Crystal,120,39
Maine,Cyr Plt.,0,0
Maine,Dyer Brook,106,40
Maine,Eagle Lake,256,197
Maine,Easton,467,241
Maine,Fort Fairfield,985,674
Maine,Fort Kent,1141,1069
Maine,Frenchville,361,235
Maine,Garfield Plt.,0,0
Maine,Glenwood Plt.,0,0
Maine,Grand Isle,119,107
Maine,Hamlin,0,0
Maine,Hammond,0,0
Maine,Haynesville,0,0
Maine,Hersey,33,8
Maine,Hodgdon,613,113
Maine,Houlton,1639,1046
Maine,Island Falls,306,132
Maine,Limestone,0,0
Maine,Linneus,411,93
Maine,Littleton,381,141
Maine,Ludlow,0,0
Maine,Macwahoc Plt.,30,12
Maine,Madawaska,940,1143
Maine,Mapleton,726,406
Maine,Mars Hill,511,222
Maine,Masardis,0,0
Maine,Merrill,91,43
Maine,Monticello,335,96
Maine,Moro Plt.,0,0
Maine,Nashville Plt.,16,7
Maine,New Canada,93,61
Maine,New Limerick,253,115
Maine,New Sweden,178,137
Maine,Oakfield,0,0
Maine,Orient,0,0
Maine,Penobscot Nation Vot Dst,0,0
Maine,Perham,0,0
Maine,Portage Lake,160,99
Maine,Presque Isle,2266,1849
Maine,Reed Plt.,0,0
Maine,Saint Agatha,334,292
Maine,St. Francis,0,0
Maine,St. John Plt.,104,63
Maine,Sherman,497,157
Maine,Smyrna,111,46
Maine,Stockholm,86,70
Maine,Van Buren,0,0
Maine,Wade,79,53
Maine,Wallagrass,134,153
Maine,Washburn,518,278
Maine,Westfield,174,92
Maine,Westmanland,0,0
Maine,Weston,125,55
Maine,Winterville Plt.,72,49
Maine,Woodland,409,239
Maine,Baldwin,623,350
Maine,Bridgton,1528,1656
Maine,Brunswick,3729,9708
Maine,Cape Elizabeth,1462,5349
Maine,Casco,1184,1036
Maine,Chebeague Island,0,0
Maine,Cumberland,1800,4074
Maine,Falmouth,2672,6147
Maine,Freeport,1675,4327
Maine,Frye Island,19,38
Maine,Gorham,4275,6460
Maine,Gray,2557,2653
Maine,Harpswell,1423,2379
Maine,Harrison,795,741
Maine,Long Island,53,133
Maine,Naples,1389,1039
Maine,New Gloucester,1757,1720
Maine,North Yarmouth,1018,1862
Maine,Portland,6483,33784
Maine,Pownal,489,685
Maine,Raymond,1472,1589
Maine,Scarborough,5217,9487
Maine,Sebago,719,529
Maine,South Portland,3781,12075
Maine,Standish,3076,2818
Maine,Westbrook,3579,7359
Maine,Windham,5276,5780
Maine,Yarmouth,1439,4785
Maine,Avon,0,0
Maine,Carrabassett Valley,164,348
Maine,Carthage,0,0
Maine,Chesterville,0,0
Maine,Coplin Plt.,0,0
Maine,Dallas Plt.,0,0
Maine,Eustis,253,173
Maine,Farmington,1541,2225
Maine,Industry,0,0
Maine,Jay,1375,1220
Maine,Kingfield,444,407
Maine,New Sharon,528,391
Maine,New Vineyard,293,154
Maine,Phillips,0,0
Maine,Rangeley,449,294
Maine,Rangeley Plt.,86,57
Maine,Sandy River Plt.,0,0
Maine,Strong,526,266
Maine,Temple,0,0
Maine,Weld,144,149
Maine,Wilton,1113,973
Maine,Amherst,0,0
Maine,Aurora,0,0
Maine,Bar Harbor,804,2678
Maine,Blue Hill,624,1310
Maine,Brooklin,189,426
Maine,Brooksville,219,450
Maine,Bucksport,1481,1278
Maine,Castine,136,346
Maine,Cranberry Isles,36,95
Maine,Dedham,582,545
Maine,Deer Isle,496,806
Maine,Eastbrook,0,0
Maine,Ellsworth,2356,2273
Maine,Franklin,459,381
Maine,Frenchboro,19,12
Maine,Gouldsboro,612,477
Maine,Great Pond,25,18
Maine,Hancock,778,659
Maine,Lamoine,576,616
Maine,Mariaville,0,0
Maine,Mount Desert,381,1066
Maine,Orland,693,691
Maine,Osborn,0,0
Maine,Otis,323,153
Maine,Penobscot,306,512
Maine,Sedgwick,321,511
Maine,Sorrento,0,0
Maine,Southwest Harbor,381,728
Maine,Stonington,220,409
Maine,Sullivan,0,0
Maine,Surry,464,596
Maine,Swan's Island,129,132
Maine,Tremont,422,590
Maine,Trenton,451,509
Maine,Verona,0,0
Maine,Waltham,0,0
Maine,Winter Harbor,179,145
Maine,Albion,801,385
Maine,Augusta,4155,5248
Maine,Belgrade,1166,993
Maine,Benton,984,607
Maine,Chelsea,917,605
Maine,China,1395,1107
Maine,Clinton,1096,641
Maine,Farmingdale,768,903
Maine,Fayette,421,388
Maine,Gardiner,1471,1694
Maine,Hallowell,445,1277
Maine,Litchfield,1260,850
Maine,Manchester,810,832
Maine,Monmouth,1397,1079
Maine,Mount Vernon,0,0
Maine,Oakland,1853,1681
Maine,Pittston,1034,691
Maine,Randolph,533,467
Maine,Readfield,818,943
Maine,Rome,0,0
Maine,Sidney,1688,1184
Maine,Unity,455,444
Maine,Vassalboro,1394,1075
Maine,Vienna,0,0
Maine,Waterville,2619,4991
Maine,Wayne,343,506
Maine,West Gardiner,1317,1000
Maine,Windsor,899,477
Maine,Winslow,2360,2184
Maine,Winthrop,1649,1963
Maine,Appleton,407,478
Maine,Camden,832,2931
Maine,Cushing,520,424
Maine,Friendship,477,309
Maine,Hope,443,653
Maine,Isle Au Haut,0,0
Maine,Matinicus Isle Plt.,0,0
Maine,North Haven,0,0
Maine,Owl's Head,454,584
Maine,Rockland,1363,2493
Maine,Rockport,776,1694
Maine,St. George,660,1108
Maine,South Thomaston,403,574
Maine,Thomaston,664,960
Maine,Union,786,726
Maine,Vinalhaven,287,531
Maine,Warren,1258,918
Maine,Washington,540,415
Maine,Alna,174,320
Maine,Boothbay,922,1229
Maine,Boothbay Harbor,545,814
Maine,Bremen,0,0
Maine,Bristol,808,1275
Maine,Damariscotta,463,980
Maine,Dresden,580,542
Maine,Edgecomb,0,0
Maine,Jefferson,951,679
Maine,Monhegan Plt.,7,51
Maine,Newcastle,403,923
Maine,Nobleboro,559,729
Maine,Somerville,0,0
Maine,South Bristol,261,429
Maine,Southport,173,306
Maine,Waldoboro,1568,1294
Maine,Westport,231,303
Maine,Whitefield,753,688
Maine,Wiscasset,1112,1114
Maine,Andover,293,223
Maine,Bethel,749,1006
Maine,Brownfield,463,464
Maine,Buckfield,636,436
Maine,Byron,0,0
Maine,Canton,374,154
Maine,Denmark,392,404
Maine,Dixfield,803,460
Maine,Fryeburg,813,1060
Maine,Gilead,0,0
Maine,Greenwood,242,278
Maine,Hanover,92,101
Maine,Hartford,428,278
Maine,Hebron,427,323
Maine,Hiram,528,373
Maine,Lincoln Plt.,0,0
Maine,Lovell,353,399
Maine,Magalloway Plt.,0,0
Maine,Mexico,676,556
Maine,Newry,119,163
Maine,Norway,1363,1400
Maine,Otisfield,605,535
Maine,Oxford,1456,807
Maine,Paris,1494,1280
Maine,Peru,561,322
Maine,Porter,521,328
Maine,Roxbury,0,0
Maine,Rumford,1502,1275
Maine,Stoneham,0,0
Maine,Stow,0,0
Maine,Sumner,324,206
Maine,Sweden,0,0
Maine,Upton,0,0
Maine,Waterford,557,452
Maine,West Paris,552,372
Maine,Woodstock,534,368
Maine,Alton,0,0
Maine,Bangor,5498,8575
Maine,Bradford,0,0
Maine,Bradley,485,378
Maine,Brewer,2568,2533
Maine,Burlington,145,56
Maine,Carmel,1183,560
Maine,Carroll Plt.,73,17
Maine,Charleston,580,164
Maine,Chester,0,0
Maine,Clifton,324,187
Maine,Corinna,847,363
Maine,Corinth,1147,390
Maine,Dexter,1169,617
Maine,Dixmont,446,265
Maine,Drew Plt.,0,0
Maine,East Millinocket,1470,1144
Maine,Eddington,903,503
Maine,Edinburg,0,0
Maine,Enfield,585,279
Maine,Etna,495,216
Maine,Exeter,366,190
Maine,Garland,409,177
Maine,Glenburn,1612,1108
Maine,Greenbush,499,193
Maine,Hampden,2265,2451
Maine,Hermon,2427,1447
Maine,Holden,1200,871
Maine,Howland,390,221
Maine,Hudson,484,120
Maine,Kenduskeag,514,242
Maine,LaGrange,0,0
Maine,Lakeville,0,0
Maine,Lee,350,140
Maine,Levant,1149,477
Maine,Lincoln,1723,813
Maine,Lowell,193,56
Maine,Mattawamkeag,257,120
Maine,Maxfield,0,0
Maine,Medway,0,0
Maine,Milford,922,861
Maine,Millinocket,1310,1049
Maine,Mount Chase,81,39
Maine,Newburgh,599,366
Maine,Newport,0,0
Maine,Old Town,1668,2365
Maine,Orono,1200,3728
Maine,Orrington,1405,1089
Maine,Passadumkeag,0,0
Maine,Patten,0,0
Maine,Plymouth,505,230
Maine,Seboeis Plt.,19,22
Maine,Springfield,0,0
Maine,Stacyville,0,0
Maine,Stetson,0,0
Maine,Veazie,522,645
Maine,Webster Plt.,0,0
Maine,Winn,0,0
Maine,Woodville,0,0
Maine,Abbot,288,121
Maine,Atkinson,122,49
Maine,Beaver Cove,0,0
Maine,Bowerbank,0,0
Maine,Brownville,467,280
Maine,Dover-Foxcroft,1356,914
Maine,Greenville,644,486
Maine,Guilford,466,248
Maine,Kingsbury Plt.,0,0
Maine,Lake View Plt.,0,0
Maine,Medford,112,46
Maine,Milo,781,410
Maine,Monson,289,173
Maine,Parkman,333,148
Maine,Sangerville,479,255
Maine,Sebec,305,117
Maine,Shirley,0,0
Maine,Wellington,0,0
Maine,Willimantic,0,0
Maine,Arrowsic,104,260
Maine,Bath,1540,3421
Maine,Bowdoin,1079,755
Maine,Bowdoinham,856,1123
Maine,Georgetown,294,525
Maine,Phippsburg,745,794
Maine,Richmond,1056,934
Maine,Topsham,2390,3944
Maine,West Bath,629,737
Maine,Woolwich,1062,1038
Maine,Anson,796,398
Maine,Athens,332,167
Maine,Bingham,349,215
Maine,Brighton Plt.,0,0
Maine,Cambridge,0,0
Maine,Canaan,749,384
Maine,Caratunk,0,0
Maine,Cornville,471,283
Maine,Dennistown Plt.,0,0
Maine,Detroit,276,151
Maine,Embden,375,181
Maine,Fairfield,1843,1428
Maine,Harmony,0,0
Maine,Hartland,610,266
Maine,Highland Plt.,71,42
Maine,Jackman,0,0
Maine,Madison,1411,928
Maine,Mercer,0,0
Maine,Moose River,0,0
Maine,Moscow,194,74
Maine,New Portland,0,0
Maine,Norridgewock,1128,687
Maine,Palmyra,800,325
Maine,Pittsfield,1156,817
Maine,Pleasant Ridge Plt.,0,0
Maine,Ripley,195,100
Maine,St. Albans,0,0
Maine,Skowhegan,2215,1876
Maine,Smithfield,342,269
Maine,Solon,365,243
Maine,Starks,237,137
Maine,The Forks Plt.,0,0
Maine,West Forks Plt.,0,0
Maine,Belfast,1259,2847
Maine,Belmont,319,259
Maine,Brooks,317,246
Maine,Burnham,389,234
Maine,Frankfort,441,220
Maine,Freedom,236,201
Maine,Islesboro,120,309
Maine,Jackson,191,134
Maine,Knox,540,415
Maine,Liberty,308,265
Maine,Lincolnville,548,1059
Maine,Monroe,266,308
Maine,Montville,266,346
Maine,Morrill,355,242
Maine,Northport,408,670
Maine,Palermo,537,381
Maine,Prospect,242,170
Maine,Searsmont,481,430
Maine,Searsport,721,843
Maine,Stockton Springs,508,529
Maine,Swanville,454,339
Maine,Thorndike,0,0
Maine,Troy,0,0
Maine,Waldo,340,233
Maine,Winterport,1238,1032
Maine,Addison,451,235
Maine,Alexander,224,73
Maine,Baileyville,421,239
Maine,Baring Plt.,0,0
Maine,Beals,0,0
Maine,Beddington,0,0
Maine,Calais,856,626
Maine,Charlotte,0,0
Maine,Cherryfield,417,212
Maine,Columbia,0,0
Maine,Columbia Falls,204,119
Maine,Cooper,62,35
Maine,Crawford,0,0
Maine,Cutler,0,0
Maine,Danforth,0,0
Maine,Deblois,0,0
Maine,Dennysville,0,0
Maine,East Machias,528,270
Maine,Eastport,339,474
Maine,Grand Lake Stream Plt,60,37
Maine,Harrington,0,0
Maine,Jonesboro,0,0
Maine,Jonesport,0,0
Maine,Lubec,406,457
Maine,Machias,461,395
Maine,Machiasport,336,216
Maine,Marshfield,208,102
Maine,Meddybemps,0,0
Maine,Milbridge,391,326
Maine,Northfield,81,38
Maine,Pembroke,0,0
Maine,Perry,0,0
Maine,Princeton,340,118
Maine,Robbinston,0,0
Maine,Roque Bluffs,0,0
Maine,Steuben,409,245
Maine,Talmadge,0,0
Maine,Topsfield,100,24
Maine,Vanceboro,0,0
Maine,Waite,0,0
Maine,Wesley,0,0
Maine,Whiting,0,0
Maine,Whitneyville,0,0
Maine,Acton,930,651
Maine,Alfred,948,983
Maine,Arundel,1347,1405
Maine,Berwick,1519,3186
Maine,Biddeford,3703,7019
Maine,Buxton,2686,2416
Maine,Cornish,478,429
Maine,Dayton,756,582
Maine,Eliot,1788,2839
Maine,Hollis,1535,1268
Maine,Kennebunk,2682,5368
Maine,Kennebunkport,926,1777
Maine,Kittery,1809,4418
Maine,Lebanon,2178,1232
Maine,Limerick,948,813
Maine,Limington,1357,856
Maine,Lyman,1537,1315
Maine,Newfield,575,362
Maine,North Berwick,1557,1465
Maine,Ogunquit,311,731
Maine,Old Orchrd Bch,2368,3708
Maine,Parsonsfield,564,469
Maine,Saco,4497,7794
Maine,Sanford,5176,5382
Maine,Shapleigh,1034,704
Maine,South Berwick,1734,2748
Maine,Waterboro,2471,1861
Maine,Wells,3333,4465
Maine,York,3352,6117
Maryland,Allegany County,19939,8050
Maryland,Anne Arundel County,110684,133998
Maryland,Baltimore County,119305,177865
Maryland,Calvert County,24786,21814
Maryland,Caroline County,9237,3572
Maryland,Carroll County,54176,29135
Maryland,Cecil County,26880,13567
Maryland,Charles County,20289,35937
Maryland,Dorchester County,7804,5295
Maryland,Frederick County,57314,64016
Maryland,Garrett County,11654,3098
Maryland,Harford County,69468,43381
Maryland,Howard County,46442,122060
Maryland,Kent County,4707,4830
Maryland,Montgomery County,72888,265188
Maryland,Prince George's County,31904,317102
Maryland,Queen Anne's County,18179,10209
Maryland,St. Mary's County,30245,22511
Maryland,Somerset County,5405,3542
Maryland,Talbot County,10524,10408
Maryland,Washington County,38232,23448
Maryland,Wicomico County,21878,20150
Maryland,Worcester County,15386,7898
Maryland,Baltimore city,20677,165350
Massachusetts,Barnstable,10824,15685
Massachusetts,Bourne,5026,5988
Massachusetts,Brewster,2334,4905
Massachusetts,Chatham,1827,3043
Massachusetts,Dennis,3934,6179
Massachusetts,Eastham,1146,2840
Massachusetts,Falmouth,7282,13911
Massachusetts,Harwich,3363,5761
Massachusetts,Mashpee,4078,5977
Massachusetts,Orleans,1444,3227
Massachusetts,Provincetown,181,2399
Massachusetts,Sandwich,5922,7519
Massachusetts,Truro,339,1386
Massachusetts,Wellfleet,478,1887
Massachusetts,Yarmouth,5954,9025
Massachusetts,Adams,0,0
Massachusetts,Alford,50,271
Massachusetts,Becket,0,0
Massachusetts,Cheshire,775,1121
Massachusetts,Clarksburg,0,0
Massachusetts,Dalton,0,0
Massachusetts,Egremont,0,0
Massachusetts,Florida,0,0
Massachusetts,Great Barrington,654,3364
Massachusetts,Hancock,207,257
Massachusetts,Hinsdale,402,771
Massachusetts,Lanesborough,602,1230
Massachusetts,Lee,977,2404
Massachusetts,Lenox,0,0
Massachusetts,Monterey,102,481
Massachusetts,Mount Washington,16,101
Massachusetts,New Ashford,0,0
Massachusetts,New Marlborough,264,677
Massachusetts,North Adams,1571,4174
Massachusetts,Otis,438,550
Massachusetts,Peru,216,299
Massachusetts,Pittsfield,4966,16158
Massachusetts,Richmond,215,827
Massachusetts,Sandisfield,200,305
Massachusetts,Savoy,161,226
Massachusetts,Sheffield,578,1541
Massachusetts,Stockbridge,237,1098
Massachusetts,Tyringham,72,233
Massachusetts,Washington,287,510
Massachusetts,West Stockbridge,164,784
Massachusetts,Williamstown,487,3088
Massachusetts,Windsor,200,269
Massachusetts,Acushnet,3193,2550
Massachusetts,Attleboro,9127,13408
Massachusetts,Berkley,2244,1744
Massachusetts,Dartmouth,7567,9456
Massachusetts,Dighton,2473,2139
Massachusetts,Easton,5337,8440
Massachusetts,Fairhaven,4229,5028
Massachusetts,Fall River,13409,17379
Massachusetts,Freetown,2862,2446
Massachusetts,Mansfield,5145,9012
Massachusetts,New Bedford,12781,20805
Massachusetts,North Attleborough,6764,8943
Massachusetts,Norton,4551,5602
Massachusetts,Raynham,4233,4348
Massachusetts,Rehoboth,4026,3590
Massachusetts,Seekonk,3957,4769
Massachusetts,Somerset,5108,5811
Massachusetts,Swansea,5116,4734
Massachusetts,Taunton,11016,14704
Massachusetts,Westport,4947,5155
Massachusetts,Aquinnah,34,311
Massachusetts,Chilmark,110,795
Massachusetts,Edgartown,850,2181
Massachusetts,Gosnold,0,0
Massachusetts,Oak Bluffs,728,2401
Massachusetts,Tisbury,527,2156
Massachusetts,West Tisbury,338,1918
Massachusetts,Amesbury,3284,6692
Massachusetts,Andover,6395,13430
Massachusetts,Beverly,7057,16380
Massachusetts,Boxford,2235,3056
Massachusetts,Danvers,6662,9698
Massachusetts,Essex,790,1629
Massachusetts,Georgetown,2357,3002
Massachusetts,Gloucester,5308,11572
Massachusetts,Groveland,1961,2391
Massachusetts,Hamilton,1432,3289
Massachusetts,Haverhill,12410,18658
Massachusetts,Ipswich,3101,6189
Massachusetts,Lawrence,5776,16854
Massachusetts,Lynn,10191,24123
Massachusetts,Lynnfield,3949,4162
Massachusetts,Manchester,1007,2645
Massachusetts,Marblehead,3777,10089
Massachusetts,Merrimac,0,0
Massachusetts,Methuen,10945,14103
Massachusetts,Middleton,2936,2717
Massachusetts,Nahant,838,1599
Massachusetts,Newbury,1749,3112
Massachusetts,Newburyport,3241,9097
Massachusetts,North Andover,6531,11004
Massachusetts,Peabody,12688,16826
Massachusetts,Rockport,1307,3859
Massachusetts,Rowley,1936,2176
Massachusetts,Salem,5382,17786
Massachusetts,Salisbury,2587,2830
Massachusetts,Saugus,7349,7722
Massachusetts,Swampscott,2540,6816
Massachusetts,Topsfield,1600,2457
Massachusetts,Wenham,763,1757
Massachusetts,West Newbury,1051,2072
Massachusetts,Ashfield,180,993
Massachusetts,Bernardston,422,915
Massachusetts,Buckland,268,887
Massachusetts,Charlemont,235,492
Massachusetts,Colrain,306,667
Massachusetts,Conway,278,989
Massachusetts,Deerfield,834,2421
Massachusetts,Erving,0,0
Massachusetts,Gill,278,670
Massachusetts,Greenfield,0,0
Massachusetts,Hawley,70,155
Massachusetts,Heath,0,0
Massachusetts,Leverett,155,1140
Massachusetts,Leyden,155,330
Massachusetts,Monroe,0,0
Massachusetts,Montague,1200,3468
Massachusetts,New Salem,237,418
Massachusetts,Northfield,592,1211
Massachusetts,Orange,0,0
Massachusetts,Rowe,113,152
Massachusetts,Shelburne,0,0
Massachusetts,Shutesbury,144,1153
Massachusetts,Sunderland,0,0
Massachusetts,Warwick,0,0
Massachusetts,Wendell,0,0
Massachusetts,Whately,331,744
Massachusetts,Agawam,8021,7725
Massachusetts,Blandford,0,0
Massachusetts,Brimfield,0,0
Massachusetts,Chester,0,0
Massachusetts,Chicopee,10622,14452
Massachusetts,East Longmeadow,4612,5260
Massachusetts,Granville,565,402
Massachusetts,Hampden,1709,1532
Massachusetts,Holland,783,690
Massachusetts,Holyoke,4804,11013
Massachusetts,Longmeadow,3438,6599
Massachusetts,Ludlow,5660,5419
Massachusetts,Monson,2584,2440
Massachusetts,Montgomery,0,0
Massachusetts,Palmer,3240,3105
Massachusetts,Russell,0,0
Massachusetts,Southwick,3221,2359
Massachusetts,Springfield,13896,38849
Massachusetts,Tolland,186,136
Massachusetts,Wales,617,430
Massachusetts,Westfield,9695,9986
Massachusetts,West Springfield,5916,6985
Massachusetts,Wilbraham,4247,4920
Massachusetts,Amherst,849,10234
Massachusetts,Belchertown,3379,5728
Massachusetts,Chesterfield,287,510
Massachusetts,Cummington,159,412
Massachusetts,Easthampton,2504,7733
Massachusetts,Goshen,231,418
Massachusetts,Granby,1802,2039
Massachusetts,Hadley,918,2445
Massachusetts,Hatfield,683,1552
Massachusetts,Huntington,0,0
Massachusetts,Middlefield,0,0
Massachusetts,Northampton,1837,15219
Massachusetts,Pelham,88,818
Massachusetts,Plainfield,116,316
Massachusetts,Southampton,1811,2231
Massachusetts,South Hadley,3223,6587
Massachusetts,Ware,2440,2340
Massachusetts,Westhampton,272,678
Massachusetts,Williamsburg,337,1445
Massachusetts,Worthington,0,0
Massachusetts,Acton,2399,10793
Massachusetts,Arlington,4313,23024
Massachusetts,Ashby,1009,956
Massachusetts,Ashland,2926,7254
Massachusetts,Ayer,1534,2924
Massachusetts,Bedford,2183,6065
Massachusetts,Belmont,2920,11605
Massachusetts,Billerica,10532,12917
Massachusetts,Boxborough,784,2516
Massachusetts,Burlington,5510,9314
Massachusetts,Cambridge,3248,45426
Massachusetts,Carlisle,759,2746
Massachusetts,Chelmsford,7680,13635
Massachusetts,Concord,1972,10002
Massachusetts,Dracut,8692,8582
Massachusetts,Dunstable,868,1224
Massachusetts,Everett,4022,10343
Massachusetts,Framingham,7705,23613
Massachusetts,Groton,2108,4819
Massachusetts,Holliston,2543,6672
Massachusetts,Hopkinton,2936,6976
Massachusetts,Hudson,3850,7409
Massachusetts,Lexington,3298,16138
Massachusetts,Lincoln,661,3374
Massachusetts,Littleton,1977,4474
Massachusetts,Lowell,12054,24492
Massachusetts,Malden,5904,18417
Massachusetts,Marlborough,5827,12332
Massachusetts,Maynard,1651,4851
Massachusetts,Medford,7412,22717
Massachusetts,Melrose,4508,12847
Massachusetts,Natick,4890,15972
Massachusetts,Newton,8165,39428
Massachusetts,North Reading,4073,5501
Massachusetts,Pepperell,3170,3809
Massachusetts,Reading,5301,10791
Massachusetts,Sherborn,557,2206
Massachusetts,Shirley,1493,2099
Massachusetts,Somerville,4150,35392
Massachusetts,Stoneham,5348,8607
Massachusetts,Stow,1258,3544
Massachusetts,Sudbury,2611,9075
Massachusetts,Tewksbury,8631,9709
Massachusetts,Townsend,2601,2663
Massachusetts,Tyngsborough,3364,4028
Massachusetts,Wakefield,6019,10170
Massachusetts,Waltham,7624,19847
Massachusetts,Watertown,3795,14855
Massachusetts,Wayland,1681,7191
Massachusetts,Westford,4618,10078
Massachusetts,Weston,1703,5049
Massachusetts,Wilmington,6394,7950
Massachusetts,Winchester,3679,9445
Massachusetts,Woburn,8464,13504
Massachusetts,Nantucket,1912,5234
Massachusetts,Avon,1030,1599
Massachusetts,Bellingham,4383,5165
Massachusetts,Braintree,8680,12464
Massachusetts,Brookline,3322,26046
Massachusetts,Canton,4953,9147
Massachusetts,Cohasset,1662,3835
Massachusetts,Dedham,4743,10658
Massachusetts,Dover,1140,2759
Massachusetts,Foxborough,4287,6583
Massachusetts,Franklin,7073,12053
Massachusetts,Holbrook,0,0
Massachusetts,Medfield,2374,5668
Massachusetts,Medway,3000,5149
Massachusetts,Millis,1985,3464
Massachusetts,Milton,4348,12497
Massachusetts,Needham,4071,15538
Massachusetts,Norfolk,2548,4037
Massachusetts,Norwood,5721,10941
Massachusetts,Plainville,2445,3154
Massachusetts,Quincy,14224,29956
Massachusetts,Randolph,3513,13586
Massachusetts,Sharon,2530,8530
Massachusetts,Stoughton,0,0
Massachusetts,Walpole,6125,9237
Massachusetts,Wellesley,3264,12295
Massachusetts,Westwood,3430,6812
Massachusetts,Weymouth,12293,19254
Massachusetts,Wrentham,3313,4220
Massachusetts,Abington,4188,5127
Massachusetts,Bridgewater,6467,7507
Massachusetts,Brockton,0,0
Massachusetts,Carver,3503,3265
Massachusetts,Duxbury,3986,6758
Massachusetts,East Bridgewater,4311,4096
Massachusetts,Halifax,2385,2329
Massachusetts,Hanover,4479,4859
Massachusetts,Hanson,3312,3240
Massachusetts,Hingham,4848,10403
Massachusetts,Hull,2405,4446
Massachusetts,Kingston,3690,4412
Massachusetts,Lakeville,3778,3326
Massachusetts,Marion,1244,2367
Massachusetts,Marshfield,7377,9473
Massachusetts,Mattapoisett,1884,2712
Massachusetts,Middleborough,7022,6155
Massachusetts,Norwell,2910,4262
Massachusetts,Pembroke,5304,6118
Massachusetts,Plymouth,14936,20780
Massachusetts,Plympton,912,962
Massachusetts,Rochester,1987,1757
Massachusetts,Rockland,4237,5279
Massachusetts,Scituate,4611,8595
Massachusetts,Wareham,5427,6733
Massachusetts,West Bridgewater,2270,2217
Massachusetts,Whitman,3875,4487
Massachusetts,Boston,42707,225368
Massachusetts,Chelsea,2146,7953
Massachusetts,Revere,7181,13283
Massachusetts,Winthrop,3665,6057
Massachusetts,Ashburnham,1643,1982
Massachusetts,Athol,2552,2653
Massachusetts,Auburn,4260,5547
Massachusetts,Barre,1524,1528
Massachusetts,Berlin,815,1366
Massachusetts,Blackstone,2485,2381
Massachusetts,Bolton,1124,2484
Massachusetts,Boylston,1314,1876
Massachusetts,Brookfield,1054,944
Massachusetts,Charlton,4339,3749
Massachusetts,Clinton,2876,4661
Massachusetts,Douglas,2918,2412
Massachusetts,Dudley,3155,2716
Massachusetts,East Brookfield,740,592
Massachusetts,Fitchburg,5820,8837
